variable,label,description,source,numerator,denominator
state,State Code,State two character code,,,
state_name,State Name,State name,,,
population2014,Population - Total,Population estimate for 2014,http://www.census.gov/popest/data/index.html,,
population_15to44_male2014,"Population - Male, 15 to 44",Population estimate for 2014 - where sex is male and age is greater than 15 and less than or equal to 44,http://www.census.gov/popest/data/index.html,,
population_black2014,Population - Black or African American,Population estimate for 2014 - with one race reported as black or african american,http://www.census.gov/popest/data/index.html,,
population_hispanic2014,Population - Hispanic or Latino,Population estimate for 2014 - any race with orgin reported as hispanic or latino,http://www.census.gov/popest/data/index.html,,
killedbypolice2015,Killed by Police - Count,Number of people killed by police in 2015 as reported to The Guardian (The Counted Project),http://www.theguardian.com/us-news/ng-interactive/2015/jun/01/the-counted-police-killings-us-database,,
violent_crime2014,Violent Crime - Count,"Violent crimes reported in 2014 including muder & non-negligent homicide, sexual assault, aggrevated assault & robbery, collected by the FBI",https://www.fbi.gov/about-us/cjis/ucr/crime-in-the-u.s/2014/crime-in-the-u.s.-2014,,
murder_nonnegligent_manslaughter2014,Murder & Non-negligent Manslaughter - Count,"Muder & non-negligent homicide in 2014, collected by the FBI",https://www.fbi.gov/about-us/cjis/ucr/crime-in-the-u.s/2014/crime-in-the-u.s.-2014,,
police_officers2014,Police Officers Employed - Count,"Police officers employed in 2014, collected by the FBI",https://www.fbi.gov/about-us/cjis/ucr/crime-in-the-u.s/2014/crime-in-the-u.s.-2014,,
population_15to44_male2014_percent,"Male, 15 to 44 - Percent of Total Population",Percent of total population that is male between the ages of 15 and 44,,population_15to44_male2014,population2014
population_black2014_percent,Black or African American - Percent of Total Population,Percent of total population with one race reported black or african american,,population_black2014,population2014
population_hispanic2014_percent,Hispanic or Latino - Percent of Total Population,Percent of total population with origin reported as hispanic or latin,,population_hispanic2014,population2014
killedbypolice2015_per100k,Killed by Police - per 100k Population,"People killed by police represented as a yearly rate per 100,000 population",,killedbypolice2015,population2014/100000
violent_crime2014_per100k,Violent Crime - per 100k Population,"Violent crimes reported represented as a yearly rate per 100,000 population",,violent_crime2014,population2014/100000
murder_nonnegligent_manslaughter2014_per100k,Murder & Non-negligent Manslaughter - per 100k Population,"Murder & non-negligent manslaughter represented as a yearly rate per 100,000 population",,murder_nonnegligent_manslaughter2014,population2014/100000
police_officers2014_per100k,Police Officers Employed - per 100k Population,"Police officers employed represented as a yearly rate per 100,000 population",,police_officers2014,population2014/100000
