"state","state_name","population2014","population_15to44_male2014","population_black2014","population_hispanic2014","killedbypolice2015","violent_crime2014","murder_nonnegligent_manslaughter2014","police_officers2014","population_15to44_male2014_percent","population_black2014_percent","population_hispanic2014_percent","killedbypolice2015_per100k","violent_crime2014_per100k","murder_nonnegligent_manslaughter2014_per100k","police_officers2014_per100k"
"AK","Alaska",736732,172961,28820,50178,5,4684,41,1258,0.23476786674123,0.039118702594702,0.0681088917001026,0.678672841684629,635.78071809016,5.56511730181396,170.754086967853
"AL","Alabama",4849377,942066,1293200,200664,19,20727,276,7698,0.194265366458413,0.266673430422093,0.0413793359435655,0.391802905816562,427.41572783473,5.69145273712479,158.742040472415
"AR","Arkansas",2966369,581999,463360,208821,5,14243,165,5917,0.196199124249208,0.156204437141839,0.0703961644690866,0.168556238283234,480.149300373622,5.56235586334674,199.46945238438
"AZ","Arizona",6731484,1370079,318202,2056455,44,26916,319,12663,0.203532980246258,0.0472707058354443,0.305498014999367,0.653644872363954,399.852395103368,4.73892532463867,188.11602315329
"CA","California",38802500,8388828,2541367,14988768,210,153709,1699,77190,0.21619297725662,0.065494929450422,0.386283564203337,0.541202242123574,396.131692545583,4.37858385413311,198.930481283422
"CO","Colorado",5355866,1163077,238720,1135109,31,16554,151,10478,0.217159465901499,0.0445716901804489,0.211937527936659,0.578804622819167,309.081668585435,2.8193386466353,195.635962512878
"CT","Connecticut",3596677,692657,413814,541152,4,8522,86,8634,0.192582486556341,0.115054535061113,0.150458881906827,0.111213767597146,236.940931865719,2.39109600333864,240.054917358439
"DC","District of Columbia",658893,161199,322827,68355,6,8199,105,4535,0.244651255970241,0.489953603999435,0.10374218575702,0.910618264270527,1244.35985812567,15.9358196247342,688.275638077806
"DE","Delaware",935614,177651,208081,83325,3,4576,54,2194,0.189876380644155,0.222400477119838,0.0890591632874241,0.320645052339961,489.090586502553,5.77161094211929,234.498414944625
"FL","Florida",19893297,3755245,3337159,4788869,71,107521,1149,36054,0.188769362866296,0.167752937082274,0.240727768755476,0.356904137107087,540.488587688607,5.77581483853581,181.236926186745
"GA","Georgia",10097343,2086570,3183784,935279,39,38097,580,19881,0.206645451184534,0.315309086756783,0.0926262483110656,0.386240221808846,377.297275134657,5.74408534997771,196.893380763633
"HI","Hawaii",1419561,305139,34864,143239,5,3680,26,3006,0.214953073520617,0.024559705430059,0.10090373009684,0.352221567090107,259.235073378319,1.83155214886856,211.755606134573
"IA","Iowa",3107126,612558,106073,173594,5,8497,60,5003,0.197146173022916,0.0341386219934435,0.0558696364421655,0.160920413269369,273.468150309965,1.93104495923242,161.01696551733
"ID","Idaho",1634464,327359,13507,196502,8,3468,32,2725,0.20028523112164,0.00826387121404938,0.12022412240343,0.489457094191123,212.179650331852,1.95782837676449,166.721322708851
"IL","Illinois",12880580,2633840,1892255,2152974,23,47663,685,24358,0.204481475213073,0.146907592670516,0.167148839570889,0.178563387673536,370.037684638425,5.31808350245098,189.106391171826
"IN","Indiana",6596855,1316238,630754,432305,21,24099,330,8763,0.199525076722165,0.0956143495650579,0.0655319845593089,0.318333508922055,365.310439595838,5.00238371163229,132.836025651617
"KS","Kansas",2904021,592875,181546,329627,11,10123,91,6804,0.204156581512324,0.0625153881462978,0.113507099294392,0.378785139639142,348.585633506094,3.13358615519654,234.295826373156
"KY","Kentucky",4413457,874329,363239,149006,19,9340,160,7101,0.198105249467708,0.0823026031521322,0.0337617427789599,0.430501532019005,211.625489950395,3.62527605910741,160.894283098261
"LA","Louisiana",4649676,942973,1510676,224867,28,23934,477,10037,0.202804023334099,0.324899197277402,0.0483618643535593,0.602192496853544,514.745543560455,10.2587793213979,215.864503247108
"MA","Massachusetts",6745408,1347520,558072,731206,10,26399,132,16644,0.199768494359422,0.0827336167063579,0.108400559313832,0.148249001394727,391.362538781939,1.95688681841039,246.745637921383
"MD","Maryland",5976407,1187595,1809294,557371,17,26661,365,15893,0.198713876079725,0.302739421863337,0.0932618879537488,0.284451845398079,446.104155891659,6.10734844531171,265.929010524216
"ME","Maine",1330089,234961,19149,20165,2,1700,21,2285,0.176650585036039,0.0143967809672887,0.0151606396263709,0.150365877772089,127.810996106276,1.57884171660693,171.793015354612
"MI","Michigan",9909877,1909845,1410458,476285,20,42348,535,17028,0.192721362737398,0.142328507205488,0.0480616459719934,0.201818852040242,427.331237310009,5.39865429207648,171.828570627062
"MN","Minnesota",5457173,1084903,320423,277009,13,12505,88,8879,0.198803116558702,0.0587159322235157,0.0507605311394746,0.238218579473291,229.147948947193,1.61255653797305,162.703289780258
"MO","Missouri",6063589,1188695,714595,240222,22,26856,403,14458,0.196038187944467,0.117850170913629,0.0396171310423579,0.362821424737066,442.906008306302,6.64622882586534,238.439643584023
"MS","Mississippi",2994079,592947,1122938,88937,12,8338,258,2524,0.198039864679589,0.375052896065869,0.029704293039696,0.40079102789205,278.482965880326,8.61700709967907,84.2997128666278
"MT","Montana",1023579,198011,6108,35362,4,3313,37,1435,0.193449650686464,0.00596729710164042,0.0345474066974801,0.390785664809458,323.668226878433,3.61476739948748,140.194357250393
"NC","North Carolina",9943964,1983316,2196390,894276,26,32767,510,23980,0.199449233726108,0.220876704702471,0.0899315403796715,0.261465146092645,329.516478539142,5.12873940412495,241.151315511601
"ND","North Dakota",739482,165949,15555,23439,1,1960,22,1593,0.224412494151311,0.0210349947666069,0.0316965118826422,0.13522979599233,265.050400144966,2.97505551183125,215.421065015781
"NE","Nebraska",1881503,380423,92289,191325,9,5275,54,3644,0.202191014311431,0.0490506791644765,0.101687321253275,0.478340985903291,280.360966737762,2.87004591541975,193.674950292399
"NH","New Hampshire",1326813,248501,19686,43544,3,2602,12,2583,0.187291653006113,0.0148370569175913,0.0328184906237729,0.226105713465274,196.109022145547,0.904422853861094,194.677019293601
"NJ","New Jersey",8938175,1750762,1321105,1729172,23,23346,349,29668,0.195874661214398,0.147804781177366,0.193459179306738,0.257323223141189,261.194259454531,3.90460021201196,331.924581919687
"NM","New Mexico",2085572,416435,52666,994151,21,12459,101,3341,0.19967423805076,0.0252525446256471,0.476680258461468,1.00691800618727,597.390068527963,4.84279612499592,160.195859936746
"NV","Nevada",2839099,589537,258492,790034,19,18045,170,5501,0.207649328184752,0.0910471949023264,0.27826926782053,0.669226398938537,635.588966781363,5.98781514839743,193.758653713731
"NY","New York",19746227,4015493,3479242,3672791,25,75398,617,58370,0.203354949783571,0.176197812371953,0.185999634259244,0.126606465123692,381.834970295844,3.12464755925271,295.600774770795
"OH","Ohio",11594163,2229341,1463594,403190,36,33030,464,9616,0.192281322938103,0.126235416907628,0.0347752571703537,0.310501068511802,284.884730359578,4.00201377192989,82.9382854113747
"OK","Oklahoma",3878051,789302,299574,381531,38,15744,175,6897,0.203530587916456,0.0772485972979726,0.098382151240404,0.979873653028287,405.977126138877,4.5125760336829,177.847068024634
"OR","Oregon",3970239,796689,80962,496789,17,9224,81,6356,0.200665249623511,0.0203922232389536,0.125128235353086,0.428185809468901,232.328582737714,2.04017944511653,160.091117940255
"PA","Pennsylvania",12787209,2450401,1484746,838823,23,40164,614,24611,0.191629072458267,0.116111811420303,0.0655985993503352,0.179867240771618,314.095124276142,4.80167329712058,192.465767940447
"RI","Rhode Island",1055173,209987,81149,148095,1,2313,25,2497,0.199007177022157,0.0769058723071951,0.140351392615239,0.0947711891794047,219.205760571963,2.36927972948512,236.643659380974
"SC","South Carolina",4832482,943549,1342308,261752,21,24052,311,9552,0.195251425664907,0.277767822001199,0.0541651267402548,0.434559300996879,497.715252741759,6.4356163147633,197.662402053438
"SD","South Dakota",853175,169274,15971,30537,2,2786,20,1669,0.198404782137311,0.0187194889676796,0.0357921880036335,0.234418495619304,326.544964397691,2.34418495619304,195.62223459431
"TN","Tennessee",6549352,1288732,1119119,328979,21,39848,371,16774,0.19677244405248,0.17087476745791,0.0502307709220698,0.320642408592484,608.426604647299,5.66468255180054,256.116941034777
"TX","Texas",26956958,5811524,3364416,10411340,108,109414,1184,38512,0.215585304543636,0.124806960785412,0.386220878483396,0.400638677405663,405.88407638577,4.39218698192875,142.864784668953
"UT","Utah",2942902,661601,39655,398760,10,6346,67,4879,0.224812447033574,0.0134747946074997,0.13549890550212,0.339800645757147,215.637489797486,2.27666432657289,165.788735064912
"VA","Virginia",8326289,1721539,1638835,737316,23,16340,338,18858,0.206759457904956,0.196826581445828,0.0885527754321283,0.276233505707044,196.245890576222,4.05943151865135,226.487454374932
"VT","Vermont",626562,117840,7709,11110,1,622,10,1194,0.188073965545309,0.0123036507161302,0.0177316849729157,0.159601124868728,99.2718996683489,1.59601124868728,190.563743093261
"WA","Washington",7061530,1478381,286779,858779,23,20136,174,10311,0.209357037355927,0.0406114538917203,0.121613729602508,0.325708451284637,285.150668481193,2.46405524015334,146.016514834604
"WI","Wisconsin",5757564,1122364,378526,372248,12,16714,165,12776,0.194937303345651,0.0657441237301053,0.0646537320297265,0.208421478250177,290.296382289454,2.86579532593993,221.899400510355
"WV","West Virginia",1850326,347850,67073,26847,12,5588,74,3534,0.187993899453394,0.0362492879633102,0.0145093351117587,0.64853436637652,302.000836609333,3.99929525932187,190.993370897885
"WY","Wyoming",584153,121983,9112,57065,6,1142,16,1322,0.208820291944063,0.0155986530925973,0.0976884480606964,1.02712816676453,195.496727740849,2.73900844470541,226.310572743785
