"state","state_name","population2014","population_black2014","killedbypolice2015","violent_crime2014","murder_nonnegligent_manslaughter2014","police_officers2014","population_black2014_percent","killedbypolice2015_per100k","violent_crime2014_per100k","murder_nonnegligent_manslaughter2014_per100k","police_officers2014_per100k"
"AL","alabama",4849377,1293200,19,20727,276,7698,0.266673430422093,0.391802905816562,427.41572783473,5.69145273712479,158.742040472415
"AK","alaska",736732,28820,5,4684,41,1258,0.039118702594702,0.678672841684629,635.78071809016,5.56511730181396,170.754086967853
"AZ","arizona",6731484,318202,44,26916,319,12663,0.0472707058354443,0.653644872363954,399.852395103368,4.73892532463867,188.11602315329
"AR","arkansas",2966369,463360,5,14243,165,5917,0.156204437141839,0.168556238283234,480.149300373622,5.56235586334674,199.46945238438
"CA","california",38802500,2541367,210,153709,1699,77190,0.065494929450422,0.541202242123574,396.131692545583,4.37858385413311,198.930481283422
"CO","colorado",5355866,238720,31,16554,151,10478,0.0445716901804489,0.578804622819167,309.081668585435,2.8193386466353,195.635962512878
"CT","connecticut",3596677,413814,4,8522,86,8634,0.115054535061113,0.111213767597146,236.940931865719,2.39109600333864,240.054917358439
"DE","delaware",935614,208081,3,4576,54,2194,0.222400477119838,0.320645052339961,489.090586502553,5.77161094211929,234.498414944625
"DC","district of columbia",658893,322827,6,8199,105,4535,0.489953603999435,0.910618264270527,1244.35985812567,15.9358196247342,688.275638077806
"FL","florida",19893297,3337159,71,107521,1149,36054,0.167752937082274,0.356904137107087,540.488587688607,5.77581483853581,181.236926186745
"GA","georgia",10097343,3183784,39,38097,580,19881,0.315309086756783,0.386240221808846,377.297275134657,5.74408534997771,196.893380763633
"HI","hawaii",1419561,34864,5,3680,26,3006,0.024559705430059,0.352221567090107,259.235073378319,1.83155214886856,211.755606134573
"ID","idaho",1634464,13507,8,3468,32,2725,0.00826387121404938,0.489457094191123,212.179650331852,1.95782837676449,166.721322708851
"IL","illinois",12880580,1892255,23,47663,685,24358,0.146907592670516,0.178563387673536,370.037684638425,5.31808350245098,189.106391171826
"IN","indiana",6596855,630754,21,24099,330,8763,0.0956143495650579,0.318333508922055,365.310439595838,5.00238371163229,132.836025651617
"IA","iowa",3107126,106073,5,8497,60,5003,0.0341386219934435,0.160920413269369,273.468150309965,1.93104495923242,161.01696551733
"KS","kansas",2904021,181546,11,10123,91,6804,0.0625153881462978,0.378785139639142,348.585633506094,3.13358615519654,234.295826373156
"KY","kentucky",4413457,363239,19,9340,160,7101,0.0823026031521322,0.430501532019005,211.625489950395,3.62527605910741,160.894283098261
"LA","louisiana",4649676,1510676,28,23934,477,10037,0.324899197277402,0.602192496853544,514.745543560455,10.2587793213979,215.864503247108
"ME","maine",1330089,19149,2,1700,21,2285,0.0143967809672887,0.150365877772089,127.810996106276,1.57884171660693,171.793015354612
"MD","maryland",5976407,1809294,17,26661,365,15893,0.302739421863337,0.284451845398079,446.104155891659,6.10734844531171,265.929010524216
"MA","massachusetts",6745408,558072,10,26399,132,16644,0.0827336167063579,0.148249001394727,391.362538781939,1.95688681841039,246.745637921383
"MI","michigan",9909877,1410458,20,42348,535,17028,0.142328507205488,0.201818852040242,427.331237310009,5.39865429207648,171.828570627062
"MN","minnesota",5457173,320423,13,12505,88,8879,0.0587159322235157,0.238218579473291,229.147948947193,1.61255653797305,162.703289780258
"MS","mississippi",2994079,1122938,12,8338,258,2524,0.375052896065869,0.40079102789205,278.482965880326,8.61700709967907,84.2997128666278
"MO","missouri",6063589,714595,22,26856,403,14458,0.117850170913629,0.362821424737066,442.906008306302,6.64622882586534,238.439643584023
"MT","montana",1023579,6108,4,3313,37,1435,0.00596729710164042,0.390785664809458,323.668226878433,3.61476739948748,140.194357250393
"NE","nebraska",1881503,92289,9,5275,54,3644,0.0490506791644765,0.478340985903291,280.360966737762,2.87004591541975,193.674950292399
"NV","nevada",2839099,258492,19,18045,170,5501,0.0910471949023264,0.669226398938537,635.588966781363,5.98781514839743,193.758653713731
"NH","new hampshire",1326813,19686,3,2602,12,2583,0.0148370569175913,0.226105713465274,196.109022145547,0.904422853861094,194.677019293601
"NJ","new jersey",8938175,1321105,23,23346,349,29668,0.147804781177366,0.257323223141189,261.194259454531,3.90460021201196,331.924581919687
"NM","new mexico",2085572,52666,21,12459,101,3341,0.0252525446256471,1.00691800618727,597.390068527963,4.84279612499592,160.195859936746
"NY","new york",19746227,3479242,25,75398,617,58370,0.176197812371953,0.126606465123692,381.834970295844,3.12464755925271,295.600774770795
"NC","north carolina",9943964,2196390,26,32767,510,23980,0.220876704702471,0.261465146092645,329.516478539142,5.12873940412495,241.151315511601
"ND","north dakota",739482,15555,1,1960,22,1593,0.0210349947666069,0.13522979599233,265.050400144966,2.97505551183125,215.421065015781
"OH","ohio",11594163,1463594,36,33030,464,9616,0.126235416907628,0.310501068511802,284.884730359578,4.00201377192989,82.9382854113747
"OK","oklahoma",3878051,299574,38,15744,175,6897,0.0772485972979726,0.979873653028287,405.977126138877,4.5125760336829,177.847068024634
"OR","oregon",3970239,80962,17,9224,81,6356,0.0203922232389536,0.428185809468901,232.328582737714,2.04017944511653,160.091117940255
"PA","pennsylvania",12787209,1484746,23,40164,614,24611,0.116111811420303,0.179867240771618,314.095124276142,4.80167329712058,192.465767940447
"RI","rhode island",1055173,81149,1,2313,25,2497,0.0769058723071951,0.0947711891794047,219.205760571963,2.36927972948512,236.643659380974
"SC","south carolina",4832482,1342308,21,24052,311,9552,0.277767822001199,0.434559300996879,497.715252741759,6.4356163147633,197.662402053438
"SD","south dakota",853175,15971,2,2786,20,1669,0.0187194889676796,0.234418495619304,326.544964397691,2.34418495619304,195.62223459431
"TN","tennessee",6549352,1119119,21,39848,371,16774,0.17087476745791,0.320642408592484,608.426604647299,5.66468255180054,256.116941034777
"TX","texas",26956958,3364416,108,109414,1184,38512,0.124806960785412,0.400638677405663,405.88407638577,4.39218698192875,142.864784668953
"UT","utah",2942902,39655,10,6346,67,4879,0.0134747946074997,0.339800645757147,215.637489797486,2.27666432657289,165.788735064912
"VT","vermont",626562,7709,1,622,10,1194,0.0123036507161302,0.159601124868728,99.2718996683489,1.59601124868728,190.563743093261
"VA","virginia",8326289,1638835,23,16340,338,18858,0.196826581445828,0.276233505707044,196.245890576222,4.05943151865135,226.487454374932
"WA","washington",7061530,286779,23,20136,174,10311,0.0406114538917203,0.325708451284637,285.150668481193,2.46405524015334,146.016514834604
"WV","west virginia",1850326,67073,12,5588,74,3534,0.0362492879633102,0.64853436637652,302.000836609333,3.99929525932187,190.993370897885
"WI","wisconsin",5757564,378526,12,16714,165,12776,0.0657441237301053,0.208421478250177,290.296382289454,2.86579532593993,221.899400510355
"WY","wyoming",584153,9112,6,1142,16,1322,0.0155986530925973,1.02712816676453,195.496727740849,2.73900844470541,226.310572743785
